YEAR,DISTRIBUTOR,RELEASES
1995,Warner Bros.,27
1996,Warner Bros.,31
1997,Warner Bros.,31
1998,Warner Bros.,27
1999,Warner Bros.,27
2000,Warner Bros.,29
2001,Warner Bros.,30
2002,Warner Bros.,32
2003,Warner Bros.,28
2004,Warner Bros.,27
2005,Warner Bros.,20
2006,Warner Bros.,26
2007,Warner Bros.,30
2008,Warner Bros.,19
2009,Warner Bros.,25
2010,Warner Bros.,20
2011,Warner Bros.,20
2012,Warner Bros.,16
2013,Warner Bros.,17
2014,Warner Bros.,17
2015,Warner Bros.,22
2016,Warner Bros.,17
2017,Warner Bros.,18
2018,Warner Bros.,19
2019,Warner Bros.,18
2020,Warner Bros.,5
2021,Warner Bros.,17
1995,Walt Disney,22
1996,Walt Disney,23
1997,Walt Disney,22
1998,Walt Disney,21
1999,Walt Disney,20
2000,Walt Disney,22
2001,Walt Disney,16
2002,Walt Disney,23
2003,Walt Disney,19
2004,Walt Disney,25
2005,Walt Disney,20
2006,Walt Disney,17
2007,Walt Disney,13
2008,Walt Disney,11
2009,Walt Disney,14
2010,Walt Disney,12
2011,Walt Disney,13
2012,Walt Disney,11
2013,Walt Disney,8
2014,Walt Disney,12
2015,Walt Disney,11
2016,Walt Disney,12
2017,Walt Disney,8
2018,Walt Disney,10
2019,Walt Disney,10
2020,Walt Disney,3
2021,Walt Disney,7
1995,20th Century Fox,11
1996,20th Century Fox,13
1997,20th Century Fox,12
1998,20th Century Fox,11
1999,20th Century Fox,15
2000,20th Century Fox,13
2001,20th Century Fox,16
2002,20th Century Fox,15
2003,20th Century Fox,13
2004,20th Century Fox,18
2005,20th Century Fox,19
2006,20th Century Fox,25
2007,20th Century Fox,17
2008,20th Century Fox,22
2009,20th Century Fox,20
2010,20th Century Fox,18
2011,20th Century Fox,15
2012,20th Century Fox,15
2013,20th Century Fox,15
2014,20th Century Fox,17
2015,20th Century Fox,18
2016,20th Century Fox,16
2017,20th Century Fox,14
2018,20th Century Fox,11
2019,20th Century Fox,11
2020,20th Century Fox,1
2021,20th Century Fox,0
1995,Paramount Pictures,12
1996,Paramount Pictures,16
1997,Paramount Pictures,16
1998,Paramount Pictures,11
1999,Paramount Pictures,13
2000,Paramount Pictures,12
2001,Paramount Pictures,14
2002,Paramount Pictures,16
2003,Paramount Pictures,14
2004,Paramount Pictures,14
2005,Paramount Pictures,12
2006,Paramount Pictures,13
2007,Paramount Pictures,16
2008,Paramount Pictures,14
2009,Paramount Pictures,10
2010,Paramount Pictures,12
2011,Paramount Pictures,13
2012,Paramount Pictures,13
2013,Paramount Pictures,8
2014,Paramount Pictures,10
2015,Paramount Pictures,9
2016,Paramount Pictures,12
2017,Paramount Pictures,10
2018,Paramount Pictures,10
2019,Paramount Pictures,9
2020,Paramount Pictures,3
2021,Paramount Pictures,4
1995,Sony Pictures,20
1996,Sony Pictures,24
1997,Sony Pictures,22
1998,Sony Pictures,20
1999,Sony Pictures,22
2000,Sony Pictures,15
2001,Sony Pictures,17
2002,Sony Pictures,20
2003,Sony Pictures,19
2004,Sony Pictures,15
2005,Sony Pictures,19
2006,Sony Pictures,26
2007,Sony Pictures,22
2008,Sony Pictures,19
2009,Sony Pictures,21
2010,Sony Pictures,17
2011,Sony Pictures,21
2012,Sony Pictures,18
2013,Sony Pictures,14
2014,Sony Pictures,17
2015,Sony Pictures,13
2016,Sony Pictures,16
2017,Sony Pictures,16
2018,Sony Pictures,16
2019,Sony Pictures,18
2020,Sony Pictures,9
2021,Sony Pictures,16
1995,Universal,17
1996,Universal,13
1997,Universal,11
1998,Universal,16
1999,Universal,16
2000,Universal,13
2001,Universal,10
2002,Universal,13
2003,Universal,13
2004,Universal,14
2005,Universal,17
2006,Universal,21
2007,Universal,20
2008,Universal,19
2009,Universal,21
2010,Universal,17
2011,Universal,19
2012,Universal,17
2013,Universal,16
2014,Universal,15
2015,Universal,20
2016,Universal,22
2017,Universal,15
2018,Universal,20
2019,Universal,21
2020,Universal,13
2021,Universal,17
